keys,values
dataset_dir,.\datasets\dataset5_ULA_M_10_K_2_mixed_N_SNR_num_coherent_signal_imperfections
num_layers,1
hidden_units,256
dropout,0.5
dense_size,256
epochs,25
batch_size,16
lr,
hidden_units_dec,256
trg_len,6
teacher_forcing_ratio,0.5
working_dir,.\train_results\dataset5_ULA_M_10_K_2_mixed_N_SNR_num_coherent_signal_imperfections\SequenceOfCovMatrixRowsForSeq2Seq\train1
dataset_type,SequenceOfCovMatrixRowsForSeq2Seq
model_type,Seq2Seq
optimizer_type,ADAM
loss_type,CrossEntropy
estimation_of_doas,Seq2Seq
config_path,config.ini
input_dim,20
output_dim,122
seed,1234
